S#,C#,GRADE
1032390,IC-28,37.5
1032633,TE-88,34.7
1032118,PN-22,85.1
1033871,TL-67,43.8
1032704,RE-00,34.7
1034867,EM-80,52.1
1036969,EC-80,60.1
1036811,TS-94,38.2
1034627,ED-59,88.2
1033450,GL-95,47.6
1033500,OL-05,75.7
1035134,SJ-89,40.1
1033154,ME-30,98.9
1033300,MA-13,88.4
1036470,CH-92,99.0
1032903,RM-27,95.7
1032142,TS-30,52.1
1036921,MT-81,54.7
1032025,TE-10,70.5
1032041,ND-50,94.1
1036608,ND-24,62.6
1033913,MT-02,33.8
1036426,TS-34,65.2
1032961,TE-56,72.8
1035355,NG-15,80.5
1036388,RE-94,71.7
1034758,PN-47,79.0
1036737,MP-40,59.9
1036039,MP-75,49.6
1034604,TH-48,40.1
1032803,EC-78,34.9
1036482,FT-22,46.5
1036332,TE-65,81.7
1033173,EM-84,81.3
1032594,FT-69,47.8
1033689,OM-03,88.0
1033504,SM-29,49.3
1036087,MD-79,53.5
1036349,RA-40,88.0
1035932,LC-10,38.9
1036314,IM-78,48.0
1033045,OM-86,41.1
1032189,NG-02,41.9
1032736,FT-23,32.9
1036788,MP-56,47.3
1033925,EC-65,83.0
1032167,WS-10,92.3
1034632,ED-37,89.1
1035587,NG-02,74.8
1033892,CH-30,45.7
1032332,LU-80,98.3
1035734,MD-13,89.0
1034165,DE-39,32.8
1032758,ED-25,77.2
1033260,TH-25,51.0
1035573,NA-87,77.7
1032559,MA-25,89.0
1035237,FT-84,41.9
1035171,LC-16,81.3
1036175,LI-73,71.0
1035305,GT-40,49.8
1034991,TS-06,78.5
1033463,SJ-75,44.9
1033122,RM-83,96.8
1032978,TS-85,70.6
1035174,EC-61,61.8
1034130,RE-38,83.9
1032049,GL-79,80.0
1035846,GL-39,57.2
1035167,EC-15,87.1
1033887,EC-07,59.7
1032322,ND-24,34.0
1032424,GT-04,49.0
1032312,TL-01,35.8
1032493,OL-41,82.2
1032957,TE-35,47.8
1035231,GT-45,45.4
1035868,RE-09,45.4
1032222,IM-47,40.3
1035600,OM-31,45.9
1036048,GT-86,69.7
1035091,LC-81,89.4
1032255,RE-51,92.3
1032566,WS-81,51.7
1032174,CH-72,43.6
1032075,SP-31,73.2
1033748,TH-32,56.4
1034283,MP-24,31.7
1033966,IM-45,78.6
1036507,WS-41,66.6
1036109,GL-57,68.1
1032639,LC-77,31.5
1036459,MD-51,42.5
1033354,TE-77,92.5
1033430,MP-56,87.7
1035303,ED-20,34.5
1032608,ED-67,86.6
1035988,RE-53,82.0
1036382,GT-66,51.8
1036706,TE-88,79.2
1032357,ED-94,80.0
1032989,RE-02,92.9
1035723,ND-41,50.2
1034840,SS-35,66.5
1035771,GL-20,77.9
1036495,MD-79,86.2
1034225,TE-79,73.4
1033847,EC-83,90.1
1035618,SM-95,79.1
1033949,SM-77,93.3
1033380,RS-32,60.8
1034944,TO-81,90.0
1036411,AT-16,41.3
1033103,CH-84,56.5
1034428,PO-54,99.7
1032743,MA-77,38.7
1033555,LS-46,46.7
1036070,ED-47,84.5
1034645,IM-60,50.4
1036563,FT-32,40.6
1035957,ED-30,69.7
1032617,TL-88,73.8
1033975,EC-92,51.0
1032658,MP-67,44.8
1036488,TE-96,31.2
1034295,TH-18,93.5
1034919,NG-08,76.2
1034135,SM-59,37.8
1033972,RA-43,46.7
1035367,CH-27,49.5
1035356,LC-52,58.0
1034239,OL-16,94.5
1032582,EC-39,80.2
1032282,CH-36,31.3
1033419,NG-63,71.8
1036532,EM-29,32.7
1035311,CL-65,71.7
1035319,CH-75,59.1
1033406,OM-06,65.1
1032966,LC-40,41.6
1034320,SP-67,67.0
1033206,OM-79,79.5
1035978,EM-09,37.3
1036778,PN-01,98.4
1034013,TE-95,83.2
1036941,DE-41,51.9
1034127,TE-77,99.7
1035689,LC-89,79.1
1033346,PO-26,92.1
1034994,IM-50,43.6
1033805,MP-58,34.5
1033998,MA-07,82.6
1036084,SE-62,93.9
1033516,AU-94,63.7
1035330,AT-63,58.8
1033874,FT-28,31.9
1036708,PO-54,72.4
1035069,RM-38,78.3
1033711,GL-49,93.5
1033680,NA-31,47.8
1034656,GL-76,53.2
1032162,WS-06,95.6
1033814,OL-38,49.6
1035448,GL-60,66.0
1036942,TE-52,34.0
1034387,MA-45,32.5
1036448,EM-45,57.4
1034855,RE-16,71.0
1034377,CH-81,55.7
1033857,ND-91,60.0
1033545,ED-94,83.7
1033829,TE-14,32.5
1035601,DE-95,95.2
1034530,RM-47,81.0
1032448,CL-86,95.1
1034139,DE-82,45.7
1033453,RM-41,37.0
1036025,TE-16,85.1
1036765,CL-15,53.2
1034811,CL-86,98.0
1032667,TH-41,49.8
1032305,ED-87,59.9
1034262,EM-46,39.8
1035996,FT-49,48.7
1035443,MA-76,82.7
1033361,TO-86,44.3
1035087,SJ-70,58.2
1036496,FT-17,47.7
1033605,LS-04,77.8
1033439,EC-22,37.5
1035540,TE-68,85.8
1035221,IC-30,88.6
1035685,MA-76,52.7
1036058,ND-50,56.0
1032771,GL-19,51.7
1036571,LI-00,41.6
1032138,AC-08,57.9
1036203,ME-71,38.1
1034980,LI-13,46.0
1035547,CL-86,97.5
1033486,TE-68,74.5
1034756,RE-41,41.6
1035277,MA-19,30.2
1032497,GL-14,55.6
1034861,GL-57,33.4
1033861,SP-65,75.2
1033134,LC-27,79.4
1036876,MD-00,56.2
1034991,EC-63,54.1
1033493,BH-36,82.4
1032560,LI-00,72.4
1032761,TE-35,54.5
1034497,PO-71,41.1
1036337,ND-26,62.4
1034014,MP-15,36.4
1035916,PO-26,93.8
1032252,TE-81,72.2
1034774,LI-18,55.4
1034376,NG-20,37.8
1034243,FT-01,32.2
1035638,TS-85,56.6
1034721,RS-14,48.9
1034736,OL-93,96.4
1034621,NG-27,68.9
1033999,OL-52,90.1
1034300,SP-28,35.0
1034174,IM-02,62.0
1032700,YS-00,98.6
1033192,ND-85,57.5
1034449,TH-89,95.9
1033617,YS-00,50.3
1036065,DE-88,44.1
1034165,EM-27,88.3
1034544,RS-14,52.5
1033110,TH-23,42.9
1034244,LS-40,56.6
1034616,TR-81,50.5
1035237,GT-76,40.8
1035226,GL-94,62.2
1034481,CH-20,93.0
1032978,SJ-70,65.7
1036044,GT-19,51.7
1033277,MA-83,78.5
1032517,RS-21,62.5
1035481,TH-40,51.4
1034694,RS-06,61.9
1032907,CL-14,52.3
1035943,LI-18,49.6
1033463,EC-19,60.7
1032570,LI-82,75.3
1033504,ED-62,85.6
1036056,NA-95,57.1
1036903,LC-75,43.7
1033312,RS-09,69.0
1036595,NG-03,45.5
1035822,SM-01,73.6
1033332,TH-32,71.3
1034558,PO-29,85.3
1035968,ED-48,32.5
1032399,RM-38,76.8
1033299,EC-01,74.4
1032783,PO-35,48.3
1035282,LC-81,94.8
1035382,LI-00,80.0
1032047,EM-56,53.2
1036052,MP-46,34.1
1035219,TO-62,44.5
1034270,ED-75,99.2
1033665,IM-12,76.2
1036370,SJ-46,36.4
1034923,DE-86,95.3
1036307,RE-48,77.2
1036001,ED-03,44.0
1035151,OL-47,44.9
1034402,WS-09,89.7
1033835,SM-15,54.2
1035009,EM-27,62.2
1035435,CH-46,32.2
1033504,PN-95,53.4
1034525,TE-10,59.5
1033269,ME-13,91.0
1032902,TO-87,95.3
1033219,GL-72,96.6
1032558,EC-60,49.6
1036052,TH-17,39.6
1035567,LC-11,49.1
1033936,TE-08,51.2
1033687,RE-15,65.3
1036874,SJ-58,94.2
1032022,DE-82,45.5
1036726,GL-39,98.2
1032761,TE-81,59.3
1034043,SM-89,65.8
1032366,GT-56,44.0
1032206,IM-35,45.8
1033201,EC-44,59.8
1034150,RA-40,48.0
1036652,ME-56,38.3
1035629,LS-58,31.7
1033820,ME-66,54.7
1033075,FT-26,83.8
1035140,OM-79,74.8
1035968,GT-13,40.9
1036848,OM-31,32.2
1032251,YS-29,89.0
1032590,TH-31,63.1
1033565,MP-94,42.3
1036866,TS-54,72.9
1032743,GL-32,38.8
1035309,NG-92,57.4
1034997,GL-76,66.2
1036032,ND-24,60.3
1034040,EC-39,94.2
1035006,OM-25,64.2
1035584,WS-09,39.8
1034733,LC-05,56.0
1033463,LI-18,89.4
1032306,SM-26,52.5
1034758,ED-19,36.0
1033624,LI-15,56.1
1034033,ED-15,75.7
1033307,LC-52,42.6
1033535,CL-89,81.8
1034493,RA-44,76.9
1032851,IM-66,58.8
1036659,CL-22,69.2
1032380,TO-02,53.4
1035311,CH-75,39.9
1032627,ED-55,31.0
1033939,OM-92,69.7
1032795,OL-38,40.7
1034783,SJ-80,48.5
1032752,MD-15,46.9
1036484,FT-18,52.6
1032632,CH-59,89.0
1034738,PN-32,45.0
1032739,GT-27,89.1
1033571,WS-67,68.8
1036600,PN-44,79.1
1032146,RE-18,42.4
1033258,CH-52,97.3
1032453,TE-87,73.5
1032234,WS-25,95.7
1034735,TH-49,30.4
1035235,BH-25,45.7
1036917,GL-70,55.6
1032942,NG-55,68.8
1032586,WS-57,54.2
1033851,LS-58,60.8
1032159,OM-92,63.4
1033735,ME-77,78.5
1036214,CP-86,56.2
1033298,ED-23,93.7
1035110,OM-47,81.9
1034852,TS-77,87.6
1034530,EM-33,87.6
1036359,IC-77,35.2
1033487,TE-45,59.7
1036073,TE-86,54.2
1033071,SP-22,65.9
1035131,TH-96,34.7
1034794,TE-57,95.1
1036008,NA-43,48.3
1034655,ED-06,89.8
1034426,TE-45,61.4
1034143,RE-06,66.1
1035714,FT-84,41.7
1033626,ND-75,96.0
1035621,OM-03,97.9
1032563,TH-12,51.9
1032319,MA-40,39.2
1035931,IM-16,37.6
1034620,NA-93,50.0
1034110,RE-15,41.2
1036852,EM-84,50.1
1033467,TR-81,93.2
1036253,SM-62,94.2
1033478,NG-89,91.4
1036522,SM-76,64.4
1032265,GT-91,76.4
1035315,DE-87,96.3
1032586,SJ-72,47.0
1036263,SM-29,39.9
1034274,LC-91,71.6
1036583,EC-35,58.1
1034665,SM-89,60.5
1033953,TE-86,44.7
1034256,MT-10,43.5
1036310,TS-28,60.9
1034746,ED-16,62.9
1033268,RE-18,85.1
1036085,RE-50,81.2
1036617,ND-72,93.7
1036986,GL-20,66.5
1036771,GL-67,87.9
1036434,OM-95,90.9
1032614,ND-60,48.6
1033874,VL-19,49.2
1032617,AN-91,46.1
1032154,ED-29,55.1
1035346,VL-04,53.8
1034155,SJ-70,42.5
1033856,YS-86,98.1
1035409,OL-26,59.6
1033469,EM-18,48.2
1035327,LC-72,30.8
1036582,DE-86,90.8
1035502,LC-07,87.1
1035620,LC-09,95.9
1035976,TO-37,40.2
1035528,SM-67,53.0
1032011,MP-73,96.3
1035280,TH-22,39.9
1032392,NA-33,74.7
1035754,NG-87,37.8
1033419,NG-64,59.2
1036773,NG-87,57.8
1033869,PO-32,51.6
1032262,TE-46,48.9
1036919,TS-76,82.2
1035009,NA-74,94.5
1032967,OM-09,93.6
1032727,EM-29,36.4
1033273,CH-26,89.4
1033019,ND-54,98.1
1033713,YS-42,86.2
1033946,YS-87,53.4
1035431,ND-29,53.2
1032065,YS-76,50.2
1033218,DE-60,34.0
1033698,GT-34,63.4
1036457,GL-14,88.3
1035179,PN-25,79.1
1035242,GL-58,67.0
1035566,TS-06,48.1
1035219,ME-90,51.8
1035388,TO-62,68.5
1034002,LS-10,41.4
1036296,ES-79,81.3
1032010,RE-47,94.3
1035756,RE-71,74.7
1034496,NG-20,45.0
1032207,CH-75,44.5
1035787,RE-27,42.7
1032988,YS-20,86.0
1032492,GT-50,97.9
1035244,ED-70,72.5
1036355,RM-01,34.5
1034215,LC-72,33.5
1036569,MP-28,86.2
1032035,GL-14,41.3
1034287,MP-28,63.5
1034513,ND-24,48.5
1032917,TH-13,70.0
1035764,OM-83,41.7
1032674,SM-56,52.9
1036029,EM-12,61.9
1035043,CH-83,39.7
1035476,TE-45,60.0
1035705,RE-39,31.7
1035963,ND-90,84.9
1035889,GT-04,54.5
1036999,SM-73,57.4
1034221,CL-30,50.5
1033510,ED-39,91.7
1035299,SP-67,37.1
1032277,DE-94,66.0
1034478,LC-09,67.4
1034695,NA-43,90.1
1035885,CH-48,57.3
1036118,TH-55,55.6
1035172,TO-40,35.4
1033519,OL-16,47.2
1033230,EC-22,35.7
1036751,CH-11,53.7
1033636,CH-95,79.1
1033143,EM-34,58.3
1033867,GT-66,65.1
1035300,PN-47,76.5
1036760,RM-18,39.7
1035725,EM-48,57.6
1036161,TS-34,61.9
1033208,TH-87,31.3
1036604,ED-91,43.0
1032392,TH-16,91.8
1035633,ED-67,52.8
1036486,ED-28,95.5
1034114,PO-35,56.5
1036480,ED-29,92.4
1035429,TH-63,43.0
1034795,CL-86,84.4
1032044,SE-62,62.7
1035900,TO-95,38.4
1035291,IM-41,45.0
1035738,TE-25,33.9
1036493,TS-61,64.1
1034785,RM-16,67.9
1032108,EM-34,61.3
1035584,ME-59,47.3
1033336,NG-64,91.3
1033633,OL-71,94.0
1036255,ED-90,75.8
1036691,GL-14,59.9
1034394,ME-78,43.7
1033643,TO-83,84.2
1033692,OL-40,74.5
1036989,DE-38,61.7
1033880,TE-06,43.0
1035048,TL-92,39.8
1034665,GL-42,62.3
1032037,TO-87,82.3
1032652,NA-74,74.4
1033268,CL-89,57.4
1032167,EC-61,71.8
1035982,MP-18,89.4
1034334,GT-59,72.3
1036342,NG-82,37.9
1032109,TH-48,46.3
1032892,RE-14,39.7
1035052,EC-31,64.5
1035361,MP-36,98.6
1034518,IM-74,90.8
1033552,VL-39,63.5
1032918,SJ-71,40.7
1032634,ED-75,48.2
1033913,OL-47,95.7
1035227,CH-56,48.4
1032714,MA-47,59.9
1032947,CH-57,41.9
1033347,VL-19,62.1
1033493,NG-41,72.6
1033072,OM-91,42.9
1036170,VL-65,61.1
1032436,EC-36,32.2
1034508,RE-41,42.8
1036837,SJ-15,96.0
1034928,IM-77,84.7
1034649,PO-44,84.4
1035571,EM-92,33.1
1036876,TS-16,57.9
1034357,SJ-68,76.9
1036995,EM-15,54.9
1033100,TO-95,84.2
1032834,TO-25,57.7
1035438,EM-81,52.6
1032853,PO-63,80.6
1033685,SJ-15,94.1
1036494,TE-79,44.9
1033240,CH-94,62.0
1033256,EC-24,76.5
1036566,PN-01,46.6
1034182,SJ-58,88.8
1036591,LS-62,73.9
1033142,CH-75,89.2
1033377,FT-14,37.9
1034615,TE-68,84.6
1035492,IC-92,45.1
1032260,CL-05,36.9
1032651,GT-10,44.6
1036333,TE-89,89.6
1034413,IM-75,92.1
1035288,YS-10,86.6
1034749,YS-19,97.5
1034317,MP-02,35.9
1032379,EC-51,80.8
1035182,WS-52,50.8
1032720,CL-04,73.4
1035185,TS-37,63.6
1034271,TH-42,63.8
1033984,PN-86,95.5
1036290,PN-38,90.9
1034992,YS-92,76.7
1036668,WS-20,92.4
1036008,MT-28,40.4
1032249,EC-52,90.5
1034397,RS-35,89.5
1036206,TE-07,50.7
1034945,SJ-68,39.7
1034898,RA-50,61.7
1032529,YS-03,76.1
1035058,SM-89,97.9
1034236,YS-87,61.1
1036734,MT-02,80.9
1036587,TE-57,68.7
1032964,PN-44,40.9
1032357,TS-43,51.6
1033868,GL-32,50.8
1036242,OL-45,35.5
1032172,SS-17,52.0
1034954,SJ-73,38.0
1032023,SP-70,44.9
1032308,LC-82,39.2
1033387,RE-06,42.2
1035657,SM-18,35.9
1035786,CH-64,38.1
1036207,PN-19,73.6
1036508,OM-91,69.6
1033758,GL-96,88.2
1034245,TE-58,51.3
1032392,GT-17,83.7
1035670,LS-37,60.3
1036745,BH-25,58.3
1035372,PO-14,78.3
1036478,ES-73,79.6
1033481,LS-40,67.9
1036628,OL-51,80.2
1033105,SJ-10,81.9
1032708,TH-66,80.2
1032350,MA-44,47.9
1035516,LC-82,65.8
1032139,OM-06,55.0
1033851,PN-86,58.1
1034752,SP-25,31.0
1036945,RA-44,53.6
1034941,MP-58,76.5
1034389,IM-95,54.8
1036077,IM-52,72.0
1035825,PN-86,53.7
1033457,LC-81,40.1
1036023,EM-12,96.3
1032445,OM-09,94.7
1036972,EC-61,95.6
1036400,SJ-58,68.1
1034697,ED-81,58.2
1033122,RM-74,87.7
1036713,TS-33,74.5
1035053,MT-02,83.3
1036586,TE-06,40.9
1032776,TE-60,93.9
1034938,FT-32,94.7
1032011,CL-04,42.6
1032249,YS-09,30.9
1033112,IC-25,39.4
1032337,EM-59,49.1
1034090,RM-35,90.4
1032436,LI-00,93.3
1032253,EC-12,75.6
1036180,FT-06,50.9
1034805,SJ-41,48.3
1033846,SM-42,95.3
1035205,ME-19,43.3
1035848,CH-56,54.8
1033430,DE-86,31.9
1032200,MD-21,71.8
1035222,AN-36,84.6
1032870,FT-03,62.7
1035585,ED-92,61.6
1035877,RE-16,47.4
1032534,RS-38,58.1
1033640,SJ-41,64.6
1033859,RS-11,75.7
1036962,SM-80,50.8
1035921,RA-37,34.0
1036682,CH-62,62.2
1035108,TH-48,41.1
1036232,TO-80,97.2
1035170,TS-05,96.7
1035259,RM-80,77.8
1035975,TL-67,88.4
1032892,EM-96,49.5
1035828,YS-58,36.4
1032107,SJ-65,51.7
1034927,ED-29,95.3
1034453,MT-28,96.9
1034036,PN-01,56.4
1036631,SM-86,78.2
1034724,MP-96,86.4
1036542,EM-67,48.8
1033585,ND-24,88.1
1035258,SS-17,80.1
1034404,LI-09,96.3
1034209,GT-25,93.1
1033499,SP-58,83.0
1034965,TL-13,67.3
1032831,WS-43,40.9
1035251,FT-03,50.8
1033372,GL-14,90.7
1033244,ED-30,56.4
1033891,TH-82,43.2
1032994,MA-19,83.1
1034997,IS-93,42.8
1032666,GL-25,55.9
1034433,NA-47,80.2
1036942,TO-11,45.0
1034086,RE-44,91.0
1034708,MD-51,78.3
1036531,SJ-35,43.9
1035356,EM-92,87.1
1032172,EC-81,68.4
1032820,MT-52,32.7
1033297,MP-03,98.7
1035714,FT-69,94.9
1034078,SM-82,91.2
1035722,YS-14,44.1
1032771,MP-59,99.9
1032698,LC-08,45.7
1032424,NG-93,89.6
1035507,ED-92,76.7
1035331,CH-10,95.2
1036846,SM-21,77.9
1036904,LC-79,79.1
1036623,LI-76,47.9
1032585,YS-92,89.6
1032173,EC-37,41.5
1032273,ED-49,53.0
1033188,WS-00,57.1
1036646,TE-01,91.8
1032024,GL-04,84.3
1032082,MP-43,79.8
1032963,GL-42,47.7
1033761,ED-70,51.6
1033384,PO-50,48.6
1036534,EC-66,80.4
1032037,RM-01,52.2
1033891,ED-23,92.8
1036311,PO-50,76.8
1035157,SJ-09,62.3
1032631,TH-16,85.7
1036812,ED-20,79.3
1034286,CH-20,63.5
1035776,MP-35,62.3
1033802,SJ-28,76.3
1035603,SJ-43,66.0
1034731,CL-11,63.5
1036746,SM-08,58.5
1034139,EC-65,75.5
1036240,TH-35,65.0
1032258,TS-27,74.0
1034753,BH-19,31.8
1036618,DE-60,52.8
1033117,NA-86,52.5
1034611,ED-88,47.7
1033900,ED-81,46.7
1035987,WS-34,91.9
1033706,ND-75,82.3
1035107,TO-05,76.2
1036153,TE-60,89.1
1032668,ND-89,79.2
1034869,ED-55,35.0
1036018,DE-03,58.3
1036459,MP-37,64.8
1032599,MP-35,45.7
1032625,ED-20,54.0
1035865,TH-09,49.1
1036353,FT-08,31.6
1036909,AN-52,50.9
1033171,WS-22,52.3
1036699,CH-88,39.4
1032325,ND-41,76.9
1033298,ST-22,84.0
1034347,TS-36,88.7
1033185,YS-29,85.8
1032928,NG-79,90.6
1032231,GL-03,48.7
1034965,GL-49,97.2
1036089,TE-26,93.2
1034886,FT-35,37.8
1033815,PN-35,57.5
1033641,TH-46,71.5
1036213,MP-37,89.0
1035186,SM-26,56.6
1033629,FT-92,71.5
1032525,FT-92,99.0
1034217,AN-70,30.6
1035224,TE-93,81.6
1033558,FT-21,75.1
1035887,OL-71,43.7
1034600,MA-39,80.3
1034083,OL-40,44.4
1035070,IM-08,94.7
1035963,EA-18,56.4
1034770,EC-87,55.4
1034823,ED-55,56.0
1032371,PO-92,30.8
1033855,NG-26,37.2
1035602,VL-49,59.4
1033149,SJ-58,97.4
1034735,SP-31,89.8
1032717,DE-93,46.7
1033936,OL-71,57.2
1032047,SJ-42,73.2
1032461,CH-27,38.3
1032084,LI-70,68.6
1032157,RA-43,39.2
1035423,MT-31,60.2
1033353,PO-71,90.4
1035384,PN-86,75.0
1034347,ED-55,30.2
1033534,PO-50,98.4
1035048,IC-10,77.4
1035973,RM-77,97.2
1034650,LC-85,91.0
1033662,RM-44,67.8
1034330,TH-46,37.0
1036359,RS-51,30.7
1032816,TS-54,76.2
1032216,PN-32,80.3
1032690,IM-13,59.9
1035611,LC-55,51.8
1036076,RS-38,55.6
1032315,MA-83,31.1
1034593,CH-26,66.8
1034838,CH-45,95.8
1033156,CH-27,60.1
1036060,EC-83,42.7
1033303,OL-22,82.1
1035577,GL-21,75.3
1036915,TE-46,49.6
1033823,RS-32,57.5
1033427,AT-79,64.9
1032627,LC-18,75.4
1036731,SJ-37,62.4
1033639,DE-38,80.1
1036560,NA-26,93.5
1035534,AU-34,65.4
1034117,LS-81,62.7
1032147,FT-92,34.5
1032516,EC-76,95.7
1036814,TO-29,60.5
1034380,IM-92,55.0
1034567,GT-28,66.5
1035130,SM-42,47.9
1032230,CH-14,36.3
1036003,FT-92,43.3
1033690,IM-23,33.7
1034068,SJ-91,61.9
1035046,CH-14,46.8
1034354,RE-71,56.4
1033112,LI-88,95.6
1036967,ND-90,68.6
1033585,YS-06,66.7
1035966,SS-10,41.9
1033286,LS-34,68.7
1034573,ED-85,57.9
1034040,CL-47,98.3
1034099,EM-46,59.7
1033658,SJ-10,30.7
1033631,TE-19,39.8
1036502,NG-15,60.4
1036333,RE-20,59.4
1035924,FT-87,79.8
1034526,LC-22,82.5
1036975,TE-77,53.5
1036674,NG-14,68.9
1032066,WS-80,35.1
1036812,MA-13,85.1
1035610,OL-50,43.7
1034008,EM-15,88.5
1032531,SM-71,39.9
1035746,ME-90,92.0
1034601,RM-30,92.1
1032320,GT-34,51.3
1035262,BH-19,41.6
1032154,NG-64,75.5
1036631,SJ-76,47.6
1034826,GL-76,36.9
1032282,LC-40,43.4
1035011,FT-72,51.3
1032656,NA-56,53.2
1036872,ED-13,50.9
1034027,EC-35,92.2
1033228,GL-73,74.3
1035480,ME-66,41.1
1034559,TE-84,50.0
1036649,ND-68,47.1
1034301,IM-08,58.7
1032023,CH-56,91.9
1032469,GL-28,88.4
1033892,EM-89,67.6
1034114,ED-39,35.6
1035427,MP-45,51.6
1032189,SM-59,83.6
1033029,CH-87,87.9
1036789,EC-24,73.2
1032876,CH-36,34.1
1032965,GT-45,31.7
1036030,WS-81,64.8
1036969,RE-16,52.8
1032076,IM-34,38.1
1034087,LC-16,89.7
1033839,TH-46,88.7
1034415,FT-17,64.7
1032840,NA-56,76.0
1033020,AU-24,35.2
1033863,IM-24,54.8
1032670,ND-57,84.6
1032594,OL-90,72.9
1036122,MP-67,50.5
1035336,ED-55,73.3
1033903,IM-35,58.8
1033200,SJ-51,94.9
1033061,ED-24,41.7
1036749,GT-31,49.2
1032962,ED-17,60.2
1035940,MP-66,55.3
1032198,SJ-36,50.5
1036355,CH-80,81.8
1032653,CH-77,70.3
1036786,IC-28,84.6
1036634,WS-10,36.6
1036064,IM-90,51.5
1033399,TL-83,31.6
1034142,NA-11,57.7
1035538,WS-52,94.2
1034831,ND-03,90.4
1032689,TH-12,84.8
1032153,SM-29,99.8
1033304,ED-23,50.8
1033033,RE-02,36.5
1033520,AN-52,99.3
1034274,SM-67,76.3
1035619,CL-22,96.4
1036446,DE-65,75.9
1035328,ED-18,61.4
1034033,ME-40,72.9
1032614,LI-76,40.3
1034394,ED-41,78.4
1036466,IM-68,56.1
1036262,ED-51,32.6
1035908,SM-56,53.6
1032500,TS-30,48.2
1034801,LC-49,93.8
1035521,DE-33,80.0
1035082,WS-34,57.0
1033053,WS-73,98.5
1034719,MA-25,55.4
1036239,LI-03,71.5
1033233,TO-83,39.4
1036793,LC-01,39.1
1035086,CH-30,35.8
1035184,OM-09,91.3
1034394,CL-86,48.3
1035382,OL-05,60.1
1035702,TS-36,75.4
1033886,AN-36,82.9
1034140,RM-01,63.4
1035198,IM-50,52.8
1036868,LC-08,31.9
1033710,EC-31,73.6
1033356,MP-27,64.9
1036975,IC-03,71.5
1034136,MP-87,89.7
1032255,SJ-80,45.0
1032511,MP-94,84.2
1036170,SM-26,92.6
1032791,SJ-02,98.3
1035357,IM-95,98.1
1032976,MD-70,86.6
1033098,LC-82,38.7
1032202,CH-84,79.9
1035788,AN-61,82.7
1034388,IM-47,55.1
1034885,TL-23,86.3
1035399,RS-32,88.9
1036223,NA-10,68.5
1032928,TS-83,66.0
1032973,SM-71,77.0
1034258,GT-17,35.4
1035288,VL-04,70.0
1032832,GL-49,68.5
1036045,LC-04,40.3
1034488,ED-07,97.8
1036897,SP-61,52.9
1032311,GT-45,52.1
1033192,RE-27,64.7
1032125,BH-25,51.7
1034317,ED-14,32.8
1036030,SJ-89,84.3
1034952,GL-72,59.8
1033139,SM-83,56.5
1034812,WS-52,86.7
1036467,ED-41,34.4
1036991,TO-80,47.5
1032533,TS-18,52.1
1035269,SM-36,70.2
1033959,OL-37,38.7
1036625,SM-38,42.8
1036964,ND-30,37.1
1032674,TH-49,50.4
1032887,OM-31,79.7
1034294,ED-84,90.0
1033446,EA-27,46.4
1035630,CH-63,93.0
1036150,RE-48,77.5
1032948,VL-19,32.0
1033329,ED-49,60.2
1032172,DE-82,52.1
1035687,IM-39,65.5
1034460,SE-59,54.8
1034105,TO-86,76.2
1032145,LC-48,56.9
1032178,WS-75,99.9
1034047,SM-19,47.1
1033357,MD-79,34.6
1036715,SJ-47,37.3
1036628,TE-46,65.3
1033800,CH-65,76.8
1035250,RE-38,83.5
1032320,EC-36,64.3
1036804,YS-24,86.2
1032333,WS-04,61.6
1035974,WS-40,74.8
1035960,GT-50,95.6
1036574,SM-88,98.0
1035076,CL-26,75.9
1032968,MP-43,90.6
1032250,FT-22,35.8
1036046,SM-42,87.6
1036620,EM-04,69.0
1034966,TO-62,37.8
1035417,ND-72,94.4
1032338,GT-26,52.7
1032300,GL-18,37.7
1032934,MP-66,75.6
1036175,SM-86,62.9
1032367,ME-87,42.7
1034703,MA-25,43.4
1033591,EC-71,56.5
1036473,SM-18,74.4
1034401,RS-14,94.9
1035333,DE-93,92.5
1033207,NG-18,37.4
1032179,CL-22,96.6
1034574,SM-77,55.5
1035470,YS-06,81.1
1035318,LI-09,50.2
1033964,VL-61,64.3
1032939,WS-19,67.4
1035728,EM-64,40.5
1033532,NA-56,65.5
1035666,TH-09,97.2
1035717,IC-10,63.2
1033268,ED-69,39.4
1036025,CH-78,35.0
1034506,EC-92,50.6
1033299,TE-39,84.0
1032036,MA-38,97.2
1033846,TE-88,77.3
1033523,SP-13,80.3
1033916,YS-09,94.2
1036945,ED-62,82.5
1036791,RS-50,65.1
1035436,TH-73,46.0
1033254,TE-45,44.3
1032498,VL-65,32.5
1036227,TE-81,36.7
1036848,NA-11,49.4
1034812,GL-73,97.4
1036258,MT-02,49.1
1033019,LU-36,67.7
1034241,OL-40,48.8
1034928,GL-67,82.3
1032725,TE-87,91.9
1033673,EC-51,96.3
1036177,IM-43,84.2
1033580,CH-05,73.8
1035756,RA-40,37.4
1036032,LC-89,94.5
1036785,GT-88,46.9
1033742,DE-90,43.4
1034184,GL-20,30.3
1034510,TE-81,60.2
1032953,PO-26,95.1
1033983,LC-09,36.2
1035962,LC-81,66.2
1036917,ND-24,57.7
1033633,TH-33,68.4
1036344,RS-11,88.3
1033698,ND-68,66.4
1034783,ST-22,97.5
1034159,MP-61,37.5
1035302,YS-14,49.0
1034622,TH-36,71.5
